subscriber_type,start_hour,number
Customer,0,848
Subscriber,0,2081
Customer,1,639
Subscriber,1,972
Customer,2,413
Subscriber,2,464
Subscriber,3,397
Customer,3,208
Subscriber,4,1238
Customer,4,160
Subscriber,5,4795
Customer,5,303
Subscriber,6,19574
Customer,6,945
Subscriber,7,64946
Customer,7,2585
Subscriber,8,127171
Customer,8,5293
Subscriber,9,89546
Customer,9,6572
Customer,10,8250
Subscriber,10,34532
Subscriber,11,29329
Customer,11,11078
Customer,12,12508
Subscriber,12,34442
Subscriber,13,30995
Customer,13,12719
Subscriber,14,25115
Customer,14,12737
Subscriber,15,34820
Customer,15,12806
Subscriber,16,76051
Customer,16,12704
Customer,17,11387
Subscriber,17,114915
Customer,18,8771
Subscriber,18,75798
Subscriber,19,35515
Customer,19,5556
Subscriber,20,19006
Customer,20,3741
Customer,21,2808
Subscriber,21,12450
Customer,22,2285
Subscriber,22,7985
Customer,23,1493
Subscriber,23,4702
