,duration,done,clicks,font,html
0,10.383333333333333,26,472,0,1
1,4.05,8,2,0,1
2,1.9,7,53,0,1
3,6.466666666666667,12,3,0,1
4,4.65,9,151,0,1
5,1.1833333333333333,0,28,0,1
6,29.233333333333334,14,484,0,1
7,14.5,9,10,0,1
8,6.783333333333333,12,5,0,1
9,1.3,4,16,0,1
10,12.05,13,485,0,1
11,4.816666666666666,5,2,0,1
12,43.88333333333333,42,25,0,1
13,5.966666666666667,3,2,0,1
14,5.25,5,68,0,1
15,0.0,0,0,0,1
16,10.616666666666667,11,3,0,1
17,12.216666666666667,31,272,0,1
18,6.116666666666666,12,130,0,1
19,2.8833333333333333,3,65,0,1
20,0.85,4,16,0,1
21,21.466666666666665,11,487,0,1
22,9.916666666666666,8,146,0,1
23,17.55,10,190,0,1
24,6.083333333333333,5,91,0,1
25,5.333333333333333,10,5,0,1
26,11.85,14,190,0,1
27,12.85,15,483,0,1
28,4.516666666666667,5,93,0,1
29,0.48333333333333334,3,1,0,1
30,6.65,2,130,0,1
31,42.35,24,4,0,1
32,2.533333333333333,1,70,0,1
33,6.9,7,178,0,1
34,6.266666666666667,10,263,0,1
35,8.283333333333333,16,191,0,1
36,0.0,0,0,0,1
37,0.9666666666666667,5,1,0,1
38,1.6833333333333333,3,34,0,1
39,8.75,16,482,0,1
40,10.616666666666667,5,376,0,1
41,3.5666666666666664,11,71,0,1
42,2.1333333333333333,4,6,0,1
43,18.583333333333332,17,15,0,1
44,7.266666666666667,12,5,0,1
45,33.06666666666667,18,480,0,1
46,2.4833333333333334,1,3,0,1
47,11.483333333333333,14,274,0,1
48,10.3,10,216,0,1
49,16.2,10,488,0,1
50,6.016666666666667,14,174,0,1
51,15.8,18,398,0,1
52,15.8,18,398,0,1
53,1.1333333333333333,0,28,0,1
54,17.883333333333333,12,374,0,1
55,3.75,2,1,0,1
56,0.5666666666666667,18,2,0,1
57,31.7,19,646,0,1
58,58.96666666666667,14,747,0,1
59,10.333333333333334,14,4,0,1
60,3.7666666666666666,7,99,0,1
61,25.0,18,408,67,2
62,6.166666666666667,12,261,11,2
63,16.766666666666666,17,371,0,2
64,8.933333333333334,14,2,0,2
65,0.0,0,0,0,2
66,7.9,13,349,0,2
67,1.6333333333333333,3,42,3,2
68,31.883333333333333,23,4,0,2
69,0.85,1,1,0,2
70,0.15,0,3,0,2
71,9.2,12,11,0,2
72,5.35,9,6,0,2
73,22.816666666666666,18,15,0,2
74,7.633333333333333,17,293,6,2
75,1.8666666666666667,1,1,0,2
76,3.15,4,55,5,2
77,0.9666666666666667,1,0,0,2
78,38.86666666666667,16,443,39,2
79,11.316666666666666,15,252,4,2
80,9.233333333333333,11,243,71,2
81,0.0,0,0,0,2
82,117.9,37,2190,7,2
83,0.0,0,0,0,2
84,55.25,29,854,0,2
85,95.33333333333333,58,13,0,2
86,4.416666666666667,6,2,0,2
87,33.75,10,369,0,2
88,23.683333333333334,27,11,0,2
89,8.783333333333333,13,7,0,2
90,17.65,19,448,31,2
91,3.9333333333333336,8,3,0,2
92,7.15,12,4,0,3
93,11.883333333333333,23,243,2,3
94,44.4,29,29,0,3
95,27.616666666666667,19,343,0,3
96,0.11666666666666667,0,1,0,3
97,4.683333333333334,5,83,0,3
98,12.483333333333333,11,11,0,3
99,10.016666666666667,13,260,35,3
100,4.1,8,7,0,3
101,12.666666666666666,16,482,0,3
102,12.233333333333333,5,253,0,3
103,1.0333333333333334,4,9,0,3
104,27.766666666666666,7,464,27,3
105,6.3,6,3,0,3
106,0.0,0,0,0,3
107,12.966666666666667,8,2,0,3
108,19.4,13,484,1,3
109,6.6,27,2,0,3
110,0.0,4,1,0,3
111,49.766666666666666,23,1145,16,3
112,71.0,15,106,0,3
113,0.3333333333333333,0,2,0,3
114,3.716666666666667,10,3,0,3
115,78.88333333333334,39,144,0,3
116,20.75,37,11,0,3
117,2.05,1,68,1,3
118,14.333333333333334,70,385,43,3
